experiment;dataset;segment_duration;audio_vectorizer;text_vectorizer;modality;audio_lstm_hidden_dim;text_lstm_hidden_dim;fc_hidden_dim;lr;weight_decay;scheduler_factor;scheduler_patience;stopper_patience;n_epochs

AC30_Mel_audio;Androids_Corpus;30;MelSpec;BERT;audio;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_HuB_audio;Androids_Corpus;30;HuBERT;BERT;audio;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_Wav_audio;Androids_Corpus;30;Wav2Vec2;BERT;audio;256;256;128;0.00001;0.00001;0.5;1;4;100

AC30_BERT_text;Androids_Corpus;30;HuBERT;BERT;text;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_ITB_text;Androids_Corpus;30;HuBERT;ItalianBERT;text;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_RoB_text;Androids_Corpus;30;HuBERT;XLMRoBERTa;text;256;256;128;0.00001;0.00001;0.5;1;4;100

AC30_Mel_BERT_multimodal;Androids_Corpus;30;MelSpec;BERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_Mel_ITB_multimodal;Androids_Corpus;30;MelSpec;ItalianBERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_Mel_RoB_multimodal;Androids_Corpus;30;MelSpec;XLMRoBERTa;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_HuB_BERT_multimodal;Androids_Corpus;30;HuBERT;BERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_HuB_ITB_multimodal;Androids_Corpus;30;HuBERT;ItalianBERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_HuB_RoB_multimodal;Androids_Corpus;30;HuBERT;XLMRoBERTa;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_Wav_BERT_multimodal;Androids_Corpus;30;Wav2Vec2;BERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_Wav_ITB_multimodal;Androids_Corpus;30;Wav2Vec2;ItalianBERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC30_Wav_RoB_multimodal;Androids_Corpus;30;Wav2Vec2;XLMRoBERTa;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100

AC60_Mel_audio;Androids_Corpus;60;MelSpec;BERT;audio;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_HuB_audio;Androids_Corpus;60;HuBERT;BERT;audio;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_Wav_audio;Androids_Corpus;60;Wav2Vec2;BERT;audio;256;256;128;0.00001;0.00001;0.5;1;4;100

AC60_BERT_text;Androids_Corpus;60;HuBERT;BERT;text;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_ITB_text;Androids_Corpus;60;HuBERT;ItalianBERT;text;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_RoB_text;Androids_Corpus;60;HuBERT;XLMRoBERTa;text;256;256;128;0.00001;0.00001;0.5;1;4;100

AC60_Mel_BERT_multimodal;Androids_Corpus;60;MelSpec;BERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_Mel_ITB_multimodal;Androids_Corpus;60;MelSpec;ItalianBERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_Mel_RoB_multimodal;Androids_Corpus;60;MelSpec;XLMRoBERTa;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_HuB_BERT_multimodal;Androids_Corpus;60;HuBERT;BERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_HuB_ITB_multimodal;Androids_Corpus;60;HuBERT;ItalianBERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_HuB_RoB_multimodal;Androids_Corpus;60;HuBERT;XLMRoBERTa;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_Wav_BERT_multimodal;Androids_Corpus;60;Wav2Vec2;BERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_Wav_ITB_multimodal;Androids_Corpus;60;Wav2Vec2;ItalianBERT;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100
AC60_Wav_RoB_multimodal;Androids_Corpus;60;Wav2Vec2;XLMRoBERTa;multimodal;256;256;128;0.00001;0.00001;0.5;1;4;100

